"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
100,39.00,17.00,"Shonin, Georgi","ШОНИН Георгий Степанович","M",1935.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,1.00,"commander",1969.00,"Soyuz 6","Soyuz 6","Soyuz 6","Soyuz 6",118.00,118.70,0.00,0.00,0.00
101,40.00,18.00,"Kubasov, Valeri","КУБАСОВ Валерий Николаевич","M",1935.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-1",1968.00,1.00,3.00,"flight engineer",1969.00,"Soyuz 6","Soyuz 6","Soyuz 6","Soyuz 6",118.00,449.95,0.00,0.00,0.00
102,40.00,18.00,"Kubasov, Valeri","КУБАСОВ Валерий Николаевич","M",1935.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-2",1968.00,2.00,3.00,"flight engineer",1975.00,"Soyuz 19","Soyuz 19","Soyuz 19/Apollo","Soyuz 19",142.00,449.95,0.00,0.00,0.00
103,40.00,18.00,"Kubasov, Valeri","КУБАСОВ Валерий Николаевич","M",1935.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-3",1968.00,3.00,3.00,"commander",1980.00,"Soyuz 36/35","Soyuz 36","Salyut 6","Soyuz 35",188.00,449.95,0.00,0.00,0.00
104,41.00,19.00,"Filipchenko, Anatoly","ФИЛИПЧЕНКО Анатолий Васильевич","M",1928.00,"U.S.S.R/Russia","Mil","TsPK-2",1963.00,1.00,2.00,"commander",1969.00,"Soyuz 7","Soyuz 7","Soyuz 7","Soyuz 7",118.00,261.05,0.00,0.00,0.00
105,41.00,19.00,"Filipchenko, Anatoly","ФИЛИПЧЕНКО Анатолий Васильевич","M",1928.00,"U.S.S.R/Russia","Mil","TsPK-3",1963.00,2.00,2.00,"commander",1974.00,"Soyuz 16","Soyuz 16","Soyuz 16","Soyuz 16",142.00,261.05,0.00,0.00,0.00
106,42.00,20.00,"Volkov, Vladislav","Владислав Николаевич Волков","M",1935.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-1",1968.00,1.00,2.00,"flight engineer",1969.00,"Soyuz 7","Soyuz 7","Soyuz 7","Soyuz 7",118.00,689.02,0.00,0.00,0.00
107,42.00,20.00,"Volkov, Vladislav","Владислав Николаевич Волков","M",1935.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-1",1968.00,2.00,2.00,"flight engineer",1971.00,"Soyuz 11","Soyuz 11","Salyut 1","Soyuz 11",570.00,689.02,0.00,0.00,0.00
108,43.00,21.00,"Gorbatko, Viktor","Виктор Васильевич Горбатко","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,3.00,"MSP",1969.00,"Soyuz 7","Soyuz 7","Soyuz 7","Soyuz 7",118.00,732.78,0.00,0.00,0.00
109,43.00,21.00,"Gorbatko, Viktor","Виктор Васильевич Горбатко","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,3.00,"commander",1977.00,"Soyuz 24","Soyuz 24","Salyut 5","Soyuz 24",425.00,732.78,0.00,0.00,0.00
110,43.00,21.00,"Gorbatko, Viktor","Виктор Васильевич Горбатко","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-3",1960.00,3.00,3.00,"commander",1980.00,"Soyuz 37/36","Soyuz 37","Salyut 6","Soyuz 36",188.00,732.78,0.00,0.00,0.00
111,44.00,23.00,"Bean, Alan Lavern","Bean, Alan Lavern","M",1932.00,"U.S.","Mil","1963 NASA group 3",1963.00,1.00,2.00,"pilot",1969.00,"Apollo 12","Apollo 12","Apollo 12","Apollo 12",244.81,1671.75,2.00,6.40,9.32
112,44.00,23.00,"Bean, Alan Lavern","Bean, Alan Lavern","M",1932.00,"U.S.","Mil","1963 NASA group 3",1963.00,2.00,2.00,"commander",1973.00,"Skylab 3","Apollo CSM-117","Skylab 3","Apollo CSM-117",1427.23,1671.75,1.00,2.68,9.32
113,45.00,24.00,"Swigert, John L., Jr.","Swigert, John L., Jr.","M",1931.00,"U.S.","Civ","1966 NASA group 5",1966.00,1.00,1.00,"pilot",1970.00,"Apollo 13","Apollo 13","Apollo 13","Apollo 13",142.00,142.00,0.00,0.00,0.00
114,46.00,25.00,"Haise, Fred W., Jr.","Haise, Fred W., Jr.","M",1933.00,"U.S.","Civ","NASA Astronaut Group 5",1966.00,1.00,1.00,"pilot",1970.00,"Apollo 13","Apollo 13","Apollo 13","Apollo 13",142.00,142.00,0.00,0.00,0.00
115,47.00,22.00,"Sevastyanov, Vitali","Виталий Иванович Севастьянов","M",1935.00,"U.S.S.R/Russia","Civ","Mishin-Group / TsKBEM-1",1968.00,1.00,2.00,"flight engineer",1970.00,"Soyuz 9","Soyuz 9","Soyuz 9","Soyuz 9",424.00,1936.30,0.00,0.00,0.00
116,47.00,22.00,"Sevastyanov, Vitali","Виталий Иванович Севастьянов","M",1935.00,"U.S.S.R/Russia","Civ","Mishin-Group / TsKBEM-2",1968.00,2.00,2.00,"flight engineer",1975.00,"Soyuz 18","Soyuz 18","Salyut 5","Soyuz 18",1511.00,1936.30,0.00,0.00,0.00
117,48.00,26.00,"Shepard, Alan B., Jr.","Shepard, Alan B., Jr.","M",1923.00,"U.S.","Mil","1959 NASA group 1",1959.00,2.00,2.00,"commander",1971.00,"Apollo 14","Apollo 14","Apollo 14","Apollo 14",216.00,216.25,2.00,9.25,9.25
118,49.00,27.00,"Roosa, Stuart A.","Roosa, Stuart A.","M",1933.00,"U.S.","Mil","1966 NASA group 5",1966.00,1.00,1.00,"pilot",1971.00,"Apollo 14","Apollo 14","Apollo 14","Apollo 14",216.00,216.00,0.00,0.00,0.00
119,50.00,28.00,"Mitchell, Edgar D.","Mitchell, Edgar D.","M",1930.00,"U.S.","Mil","NASA- 5",1966.00,1.00,1.00,"pilot",1971.00,"Apollo 14","Apollo 14","Apollo 14","Apollo 14",216.00,216.00,2.00,9.38,9.38
120,51.00,23.00,"Rukavishnikov, Nikolai","Николай Николаевич Рукавишников","M",1932.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-1",1968.00,1.00,3.00,"flight engineer",1971.00,"Soyuz 10","Soyuz 10","Soyuz 10","Soyuz 10",47.00,237.15,0.00,0.00,0.00
121,51.00,23.00,"Rukavishnikov, Nikolai","Николай Николаевич Рукавишников","M",1932.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-2",1968.00,2.00,3.00,"flight engineer",1974.00,"Soyuz 16","Soyuz 16","Soyuz 16","Soyuz 16",142.00,237.15,0.00,0.00,0.00
122,51.00,23.00,"Rukavishnikov, Nikolai","Николай Николаевич Рукавишников","M",1932.00,"U.S.S.R/Russia","Mil","Korolyov-Group / Mishin-Group / TsKBEM-3",1968.00,3.00,3.00,"commander",1979.00,"Soyuz 33","Soyuz 33","Soyuz 33","Soyuz 33",47.00,237.15,0.00,0.00,0.00
123,52.00,24.00,"Dobrovolski, Georgi","Георгий Тимофеевич Добровольский","M",1928.00,"U.S.S.R/Russia","Mil","TsPK-2",1963.00,1.00,1.00,"commander",1971.00,"Soyuz 11","Soyuz 11","Salyut 1","Soyuz 11",570.00,570.35,0.00,0.00,0.00
124,53.00,25.00,"Patsayev, Viktor","Виктор Иванович Пацаев","M",1933.00,"U.S.S.R/Russia","Civ","TsKBEM-1",1968.00,1.00,1.00,"flight engineer",1971.00,"Soyuz 11","Soyuz 11","Salyut 1","Soyuz 11",570.00,570.35,0.00,0.00,0.00
125,54.00,29.00,"Worden, Alfred M.","Worden, Alfred M.","M",1932.00,"U.S.","Mil","1966 NASA group 5",1966.00,1.00,1.00,"pilot",1971.00,"Apollo 15","Apollo 15","Apollo 15","Apollo 15",295.20,295.20,1.00,0.63,0.63
126,55.00,30.00,"Irwin, James B.","Irwin, James B.","M",1930.00,"U.S.","Mil","NASA- 5",1966.00,1.00,1.00,"pilot",1971.00,"Apollo 15","Apollo 15","Apollo 15","Apollo 15",295.00,295.00,3.00,18.50,18.50
127,56.00,31.00,"Mattingly, Thomas K., II","Mattingly, Thomas K., II","M",1936.00,"U.S.","Mil","NASA- 5",1966.00,1.00,3.00,"pilot",1972.00,"Apollo 16","Apollo 16","Apollo 16","Apollo 16",266.00,508.00,1.00,1.38,1.38
128,56.00,31.00,"Mattingly, Thomas K., II","Mattingly, Thomas K., II","M",1936.00,"U.S.","Mil","NASA- 5",1966.00,2.00,3.00,"commander",1982.00,"STS-4","STS-4","STS-4","STS-4",169.00,508.00,0.00,0.00,1.38
129,56.00,31.00,"Mattingly, Thomas K., II","Mattingly, Thomas K., II","M",1936.00,"U.S.","Mil","NASA- 5",1966.00,3.00,3.00,"commander",1985.00,"STS-151-C","STS-151-C","STS-151-C","STS-151-C",73.00,508.00,0.00,0.00,1.38
130,57.00,32.00,"Duke, Jr. Charles Moss","Duke, Jr. Charles Moss","M",1935.00,"U.S.","Mil","NASA- 5",1966.00,1.00,1.00,"pilot",1972.00,"Apollo 16","Apollo 16","Apollo 16","Apollo 16",265.00,265.00,3.00,20.25,20.25
131,58.00,33.00,"Evans, Ronald E.","Evans, Ronald E.","M",1933.00,"U.S.","Mil","NASA- 5",1966.00,1.00,1.00,"pilot",1972.00,"Apollo 17","Apollo 17","Apollo 17","Apollo 17",301.00,301.00,1.00,1.40,1.40
132,59.00,34.00,"Schmitt, Harrison H.","Schmitt, Harrison H.","M",1935.00,"U.S.","Civ","NASA-4",1965.00,1.00,1.00,"pilot",1972.00,"Apollo 17","Apollo 17","Apollo 17","Apollo 17",301.00,301.00,3.00,22.07,22.07
133,60.00,35.00,"Weitz, Paul J.","Weitz, Paul J.","M",1932.00,"U.S.","Mil","1966 NASA group 5",1966.00,1.00,2.00,"pilot",1973.00,"Skylab-2","Apollo Sk.2","Apollo Sk.2","Apollo Sk.2",267.00,793.22,2.00,2.27,2.27
134,60.00,35.00,"Weitz, Paul J.","Weitz, Paul J.","M",1932.00,"U.S.","Mil","1966 NASA group 5",1966.00,2.00,2.00,"commander",1983.00,"STS-6","STS-6","STS-6","STS-6",120.00,793.22,0.00,0.00,2.27
135,61.00,36.00,"Kerwin, Joseph P.","Kerwin, Joseph P.","M",1932.00,"U.S.","Mil","NASA- 4",1965.00,1.00,1.00,"MSP",1973.00,"Skylab 2","Apollo Sk.2","Apollo Sk.2","Apollo Sk.2",672.00,672.00,1.00,3.42,3.42
136,62.00,37.00,"Lousma, Jack R.","Lousma, Jack R.","M",1936.00,"U.S.","Mil","NASA- 5",1966.00,1.00,2.00,"pilot",1973.00,"Skylab 3","Apollo Sk.3","Skylab 3","Skylab 3",1427.00,1619.00,2.00,11.00,11.00
137,62.00,37.00,"Lousma, Jack R.","Lousma, Jack R.","M",1936.00,"U.S.","Mil","NASA- 5",1966.00,2.00,2.00,"commander",1982.00,"STS-3","STS-3","STS-3","STS-3",192.00,1619.00,0.00,0.00,11.00
138,63.00,38.00,"Garriott, Owen K.","Garriott, Owen K.","M",1930.00,"U.S.","Civ","NASA Astronaut Group 4",1965.00,1.00,2.00,"MSP",1973.00,"Skylab 3","Apollo Sk.3","Skylab","Apollo Sk.3",1427.00,1674.00,3.00,13.72,13.72
139,63.00,38.00,"Garriott, Owen K.","Garriott, Owen K.","M",1930.00,"U.S.","Civ","NASA Astronaut Group 5",1965.00,2.00,2.00,"MSP",1983.00,"STS-9","STS-9","STS-9","STS-9",247.00,1674.00,0.00,0.00,13.72
140,64.00,26.00,"Lazarev, Vasili","Василий Григорьевич Лазарев","M",1928.00,"U.S.S.R/Russia","Mil","Voskhod-1 / TsPK-3",1964.00,1.00,1.00,"commander",1973.00,"Soyuz 12","Soyuz 12","Soyuz 12","Soyuz 12",47.00,47.25,0.00,0.00,0.00
141,65.00,27.00,"Makarov, Oleg","Олег Григорьевич Макаров","M",1933.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-1",1968.00,1.00,3.00,"flight engineer",1973.00,"Soyuz 12","Soyuz 12","Soyuz 12","Soyuz 12",47.00,497.33,0.00,0.00,0.00
142,65.00,27.00,"Makarov, Oleg","Олег Григорьевич Макаров","M",1933.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-2",1968.00,2.00,3.00,"flight engineer",1978.00,"Soyuz 27/26","Soyuz 27","Salyut 6","Soyuz 26",142.00,497.33,0.00,0.00,0.00
143,65.00,27.00,"Makarov, Oleg","Олег Григорьевич Макаров","M",1933.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-3",1968.00,3.00,3.00,"flight engineer",1980.00,"Soyuz T­3","Soyuz T­3","Salyut 6","Soyuz T­3",307.00,497.33,0.00,0.00,0.00
144,66.00,39.00,"Carr, Gerald P.","Carr, Gerald P.","M",1932.00,"U.S.","Mil","NASA- 5",1966.00,1.00,1.00,"commander",1974.00,"Skylab 4","Skylab 4","Skylab 4","Skylab 4",2017.00,2017.00,3.00,15.85,15.85
145,67.00,40.00,"Pogue, William R.","Pogue, William R.","M",1930.00,"U.S.","Mil","NASA-5",1966.00,1.00,1.00,"pilot",1973.00,"Skylab 4","Skylab 4","Skylab 4","Skylab 4",2017.00,2017.00,2.00,13.62,13.62
146,68.00,41.00,"Gibson, Edward G.","Gibson, Edward G.","M",1936.00,"U.S.","Civ","NASA Astronaut Group 4",1965.00,1.00,1.00,"MSP",1973.00,"Skylab 4","Skylab 4","Skylab 4","Skylab 4",2017.00,2017.00,3.00,15.35,15.35
147,69.00,28.00,"Klimuk, Pyotr","Петр Ильич Климук","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-3",1965.00,1.00,3.00,"commander",1973.00,"Soyuz 13","Soyuz 13","Soyuz 13","Soyuz 13",188.00,1890.28,0.00,0.00,0.00
148,69.00,28.00,"Klimuk, Pyotr","Петр Ильич Климук","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-4",1965.00,2.00,3.00,"commander",1975.00,"Saluyt 4","Soyuz 18","Saluyt 4","Soyuz 18",1511.00,1890.28,0.00,0.00,0.00
149,69.00,28.00,"Klimuk, Pyotr","Петр Ильич Климук","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1965.00,3.00,3.00,"commander",1978.00,"Saluyt 6","Soyuz 30","Saluyt 6","Soyuz 30",190.00,1890.28,0.00,0.00,0.00
150,70.00,29.00,"Lebedev, Valentin","Валентин Витальевич Лебедев","M",1942.00,"U.S.S.R/Russia","Civ","TsKBEM-2 / AN-4",1972.00,1.00,2.00,"flight engineer",1973.00,"Soyuz 13","Soyuz 13","Soyuz 13","Soyuz 13",188.00,5261.98,0.00,0.00,2.55
151,70.00,29.00,"Lebedev, Valentin","Валентин Витальевич Лебедев","M",1942.00,"U.S.S.R/Russia","Civ","TsKBEM-2 / AN-5",1972.00,2.00,2.00,"flight engineer",1982.00,"Salyut 7","Soyuz T­5","Salyut 7","Soyuz T­7",5313.00,5261.98,1.00,2.55,2.55
152,71.00,30.00,"Artyukhin, Yuri","Юрий Петрович Артюхин","M",1930.00,"U.S.S.R/Russia","Mil","TsPK-2",1963.00,1.00,1.00,"flight engineer",1974.00,"Soyuz 14","Soyuz 14","Salyut 3","Soyuz 14",377.00,377.50,0.00,0.00,0.00
153,72.00,31.00,"Sarafanov, Gennadi","Геннадий Васильевич Сарафанов","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-3",1965.00,1.00,1.00,"commander",1974.00,"Soyuz 15","Soyuz 15","Soyuz 15","Soyuz 15",48.00,48.20,0.00,0.00,0.00
154,73.00,32.00,"Dyomin, Lev","Лев Степанович Дёмин","M",1926.00,"U.S.S.R/Russia","Mil","TsPK-2",1963.00,1.00,1.00,"flight engineer",1974.00,"Soyuz 15","Soyuz 15","Soyuz 15","Soyuz 15",48.00,48.20,0.00,0.00,0.00
155,74.00,33.00,"Gubarev, Aleksei","Алексей Александрович Губарев","M",1931.00,"U.S.S.R/Russia","Mil","TsPK-2",1963.00,1.00,2.00,"commander",1975.00,"Salyut 4","Soyuz 17","Salyut 4","Soyuz 17",709.00,899.60,0.00,0.00,0.00
156,74.00,33.00,"Gubarev, Aleksei","Алексей Александрович Губарев","M",1931.00,"U.S.S.R/Russia","Mil","TsPK-3",1963.00,2.00,2.00,"commander",1978.00,"Salyut 6","Soyuz 28","Salyut 6","Soyuz 28",190.00,899.60,0.00,0.00,0.00
157,75.00,34.00,"Grechko, Georgi","Георгий Михайлович Гречко","M",1931.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-3",1968.00,1.00,3.00,"flight engineer",1975.00,"Salyut 4","Soyuz 17","Salyut 4","Soyuz 17",709.00,3236.53,0.00,0.00,1.01
158,75.00,34.00,"Grechko, Georgi","Георгий Михайлович Гречко","M",1931.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-4",1968.00,2.00,3.00,"flight engineer",1977.00,"Salyut 6","Soyuz 26","Salyut 6","Soyuz 27",2314.00,3236.53,1.00,1.01,1.01
159,75.00,34.00,"Grechko, Georgi","Георгий Михайлович Гречко","M",1931.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-5",1968.00,3.00,3.00,"flight engineer",1985.00,"Soyuz 7","Soyuz T­14","Soyuz 7","Soyuz T­13",213.00,3236.53,0.00,0.00,1.01
160,76.00,42.00,"Brand, Vance D.","Brand, Vance D.","M",1931.00,"U.S.","Civ","NASA- 5",1966.00,1.00,4.00,"pilot",1975.00,"ASTP","ASTP","ASTP","ASTP",217.50,746.00,0.00,0.00,0.00
161,76.00,42.00,"Brand, Vance D.","Brand, Vance D.","M",1931.00,"U.S.","Civ","NASA- 5",1966.00,2.00,4.00,"commander",1982.00,"STS-5","STS-5","STS-5","STS-5",122.25,746.00,0.00,0.00,0.00
162,76.00,42.00,"Brand, Vance D.","Brand, Vance D.","M",1931.00,"U.S.","Civ","NASA- 5",1966.00,3.00,4.00,"commander",1984.00,"STS-41-B","STS-41-B","STS-41-B","STS-41-B",191.25,746.00,0.00,0.00,0.00
163,76.00,42.00,"Brand, Vance D.","Brand, Vance D.","M",1931.00,"U.S.","Civ","NASA- 5",1966.00,4.00,4.00,"commander",1990.00,"STS-35","STS-35","STS-35","STS-35",215.00,746.00,0.00,0.00,0.00
164,77.00,43.00,"Slayton, Donald K.","Slayton, Donald K.","M",1924.00,"U.S.","Civ","1959 NASA group 1",1959.00,1.00,1.00,"pilot",1975.00,"ASTP","ASTP","ASTP","ASTP",217.47,217.47,0.00,0.00,0.00
165,78.00,35.00,"Zholobov, Vitali","Виталий Михайлович Жолобов","M",1937.00,"U.S.S.R/Russia","Mil","TsPK-2",1963.00,1.00,1.00,"flight engineer",1976.00,"Soyuz 21","Soyuz 21","Salyut 5","Soyuz 21",1182.00,1182.38,0.00,0.00,0.00
166,79.00,36.00,"Aksyonov, Vladimir","Владимир Викторович Аксёнов","M",1935.00,"U.S.S.R/Russia","Mil","TsKBEM-3",1973.00,1.00,2.00,"flight engineer",1976.00,"Soyuz 22","Soyuz 22","Soyuz 22","Soyuz 22",189.00,284.18,0.00,0.00,0.00
167,79.00,36.00,"Aksyonov, Vladimir","Владимир Викторович Аксёнов","M",1935.00,"U.S.S.R/Russia","Mil","TsKBEM-4",1973.00,2.00,2.00,"flight engineer",1980.00,"Soyuz T­2","Soyuz T­2","Salyut 6","Soyuz T­2",94.00,284.18,0.00,0.00,0.00
168,80.00,37.00,"Zudov, Vyacheslav","Вячеслав Дмитриевич Зудов","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-3",1965.00,1.00,1.00,"commander",1976.00,"Soyuz 23","Soyuz 23","Soyuz 23","Soyuz 23",48.00,48.10,0.00,0.00,0.00
169,81.00,38.00,"Rozhdestvensky, Valery","Валерий Ильич Рождественский","M",1939.00,"U.S.S.R/Russia","Mil","TsPK-3",1965.00,1.00,1.00,"flight engineer",1976.00,"Soyuz 23","Soyuz 23","Soyuz 23","Soyuz 23",48.00,48.10,0.00,0.00,0.00
170,82.00,39.00,"Glazkov, Yuri","Юрий Николаевич Глазков","M",1939.00,"U.S.S.R/Russia","Mil","TsPK-3",1965.00,1.00,1.00,"flight engineer",1977.00,"Soyuz 24","Soyuz 24","Salyut 5","Soyuz 24",425.00,425.42,0.00,0.00,0.00
171,83.00,40.00,"Kovalyonok, Vladimir","Владимир Васильевич Ковалёнок","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-4",1967.00,1.00,3.00,"commander",1977.00,"Soyuz 25","Soyuz 25","Soyuz 25","Soyuz 25",48.00,5193.13,0.00,0.00,2.33
172,83.00,40.00,"Kovalyonok, Vladimir","Владимир Васильевич Ковалёнок","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1967.00,2.00,3.00,"commander",1978.00,"Salyut 6","Soyuz 29","Salyut 6","Soyuz 31",3350.00,5193.13,1.00,2.33,2.33
173,83.00,40.00,"Kovalyonok, Vladimir","Владимир Васильевич Ковалёнок","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-6",1967.00,3.00,3.00,"commander",1981.00,"Salyut 6","Soyuz T­4","Salyut 6","Soyuz T­4",1793.00,5193.13,0.00,0.00,2.33
174,84.00,41.00,"Ryumin, Valery","Валерий Викторович Рюмин","M",1939.00,"U.S.S.R/Russia","Civ","TsKBEM-3",1973.00,1.00,4.00,"flight engineer",1977.00,"Soyuz 25","Soyuz 25","Soyuz 25","Soyuz 25",48.00,8921.40,0.00,0.00,1.38
175,84.00,41.00,"Ryumin, Valery","Валерий Викторович Рюмин","M",1939.00,"U.S.S.R/Russia","Civ","TsKBEM-3",1973.00,2.00,4.00,"flight engineer",1979.00,"Salyut 6","Soyuz 32","Salyut 6","Soyuz 34",4200.00,8921.40,1.00,1.38,1.38
176,84.00,41.00,"Ryumin, Valery","Валерий Викторович Рюмин","M",1939.00,"U.S.S.R/Russia","Civ","TsKBEM-3",1973.00,3.00,4.00,"flight engineer",1980.00,"Salyut 6","Soyuz 35","Salyut 6","Soyuz 37",4436.00,8921.40,0.00,0.00,1.38
177,84.00,41.00,"Ryumin, Valery","Валерий Викторович Рюмин","M",1939.00,"U.S.S.R/Russia","Civ","TsKBEM-3",1973.00,4.00,4.00,"MSP",1998.00,"STS­ 91","STS­ 91","STS­ 91","STS­ 91",235.00,8921.40,0.00,0.00,1.38
178,85.00,42.00,"Romanenko, Yuri","Юрий Викторович Романенко","M",1944.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,1.00,3.00,"commander",1977.00,"Soyuz 26/27","Soyuz 26","Salyut 6","Soyuz 27",2314.00,10338.35,1.00,1.47,10.27
179,85.00,42.00,"Romanenko, Yuri","Юрий Викторович Романенко","M",1944.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,2.00,3.00,"commander",1980.00,"Soyuz 38","Soyuz 38","Salyut 6","Soyuz 38",188.00,10338.35,0.00,0.00,10.27
180,85.00,42.00,"Romanenko, Yuri","Юрий Викторович Романенко","M",1944.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,3.00,3.00,"commander",1987.00,"2","Soyuz TM­2/3","Mir","Soyuz TM­2/3",7835.00,10338.35,3.00,8.80,10.27
181,86.00,43.00,"Dzhanibekov, Vladimir","Владимир Александрович Джанибеков","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,1.00,5.00,"commander",1978.00,"Soyuz 27/26","Soyuz 27","Salyut 6","Soyuz 26",142.00,3495.93,0.00,0.00,8.57
182,86.00,43.00,"Dzhanibekov, Vladimir","Владимир Александрович Джанибеков","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,2.00,5.00,"commander",1981.00,"Soyuz 39","Soyuz 39","Salyut 6","Soyuz 39",188.00,3495.93,0.00,0.00,8.57
183,86.00,43.00,"Dzhanibekov, Vladimir","Владимир Александрович Джанибеков","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,3.00,5.00,"commander",1982.00,"Salyut 7","Soyuz T­6","Salyut 7","Soyuz T­6",189.00,3495.93,0.00,0.00,8.57
184,86.00,43.00,"Dzhanibekov, Vladimir","Владимир Александрович Джанибеков","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,4.00,5.00,"commander",1984.00,"Salyut 7","Soyuz T­12","Salyut 7","Soyuz T­12",283.00,3495.93,1.00,3.57,8.57
185,86.00,43.00,"Dzhanibekov, Vladimir","Владимир Александрович Джанибеков","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,5.00,5.00,"commander",1985.00,"Salyut 7","Soyuz T­13","Salyut 7","Soyuz T­13",2691.00,3495.93,1.00,5.00,8.57
186,87.00,1.00,"Vladimir Remek",,"M",1948.00,"Czechoslovakia","Mil","Air Gorce Group 6 - USSR",1976.00,1.00,1.00,"pilot",1978.00,"Soyuz 28","Soyuz 28","Soyuz 28","Soyuz 28",190.28,190.28,0.00,0.00,0.00
187,88.00,44.00,"Ivanchenkov, Aleksandr","Александр Сергеевич Иванченков","M",1940.00,"U.S.S.R/Russia","Mil","TsKBEM-3",1973.00,1.00,2.00,"flight engineer",1978.00,"Salyut 6","Soyuz 29","Salyut 6","Soyuz 31",3350.00,3540.62,1.00,2.33,2.33
188,88.00,44.00,"Ivanchenkov, Aleksandr","Александр Сергеевич Иванченков","M",1940.00,"U.S.S.R/Russia","Mil","TsKBEM-4",1973.00,2.00,2.00,"flight engineer",1982.00,"Salyut 7","Soyuz T6","Salyut 7","Soyuz T6",189.00,3540.62,0.00,0.00,2.33
189,89.00,1.00,"Miroslaw Hermaszewske","Miroslaw Hermaszewske","M",1941.00,"Poland","Mil","1976 Intercosmos Group",1976.00,1.00,1.00,"pilot",1978.00,"Soyuz 30","Soyuz 30","Soyuz 30","Soyuz 30",190.03,190.03,0.00,0.00,0.00
190,90.00,1.00,"Jahn, Sigmund","Jahn, Sigmund","M",1937.00,"Germany","Mil","Interkosmos-1",1976.00,1.00,1.00,"MSP",1978.00,"Soyuz 31","Soyuz 31","Soyuz 31","Soyuz 29",188.82,188.82,0.00,0.00,0.00
191,91.00,45.00,"Lyakhov, Vladimir","Владимир Афанасьевич Ляхов","M",1941.00,"U.S.S.R/Russia","Mil","TsPK-4",1967.00,1.00,3.00,"commander",1979.00,"Salyut 6","Soyuz 32","Salyut 6","Soyuz 34",4200.00,7999.78,1.00,1.38,7.12
192,91.00,45.00,"Lyakhov, Vladimir","Владимир Афанасьевич Ляхов","M",1941.00,"U.S.S.R/Russia","Mil","TsPK-4",1967.00,2.00,3.00,"commander",1983.00,"Salyut 7","Soyuz T­9","Salyut 7","Soyuz T­9",3586.00,7999.78,2.00,5.73,7.12
193,91.00,45.00,"Lyakhov, Vladimir","Владимир Афанасьевич Ляхов","M",1941.00,"U.S.S.R/Russia","Mil","TsPK-4",1967.00,3.00,3.00,"commander",1988.00,"3","Soyuz TM­6","Mir","Soyuz TM­5",212.00,7999.78,0.00,0.00,7.12
194,92.00,1.00,"Georgi Ivanov","Георги Иванов Иванов","M",1940.00,"Bulgaria","Mil","1978 Intercosmos Group",1978.00,1.00,1.00,"pilot",1979.00,"Soyuz 33","Soyuz 33","Soyuz 33","Soyuz 33",47.00,47.00,0.00,0.00,0.00
